|count| |marker| |date_time| |description|
|1| |ERROR| |2017-11-10 11:33:37| |pg openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60414)|
|20| |WARNING| |2017-11-10 17:29:12| |pg openerp.modules.graph: module some_product_uys: not installable, skipped|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model settings.page.questions.faq|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model issued.invoices.questions.faq|
|4| |CRITICAL| |2017-11-10 17:00:57| |? openerp.service.server: Failed to initialize database `pg`.|
|1| |ERROR| |2017-11-10 11:33:37| |pg openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60415)|
|1| |ERROR| |2017-11-10 21:12:30| |pg openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 55068)|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model price.quotation.questions.faq|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model blog.article.liked.questions.faq|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model commercial.proposal.questions.faq|
|7| |ERROR| |2017-11-10 20:43:18| |pg openerp.addons.base.ir.ir_model: Missing model print.pricelist|
|7| |ERROR| |2017-11-10 20:43:18| |pg openerp.addons.base.ir.ir_model: Missing model flixo.error.code|
|9| |ERROR| |2017-11-10 20:55:55| |pg openerp.modules.graph: module some_product_shop: Unmet dependencies: profile_management|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model confirmation.page.questions.faq|
|9| |WARNING| |2017-11-10 17:29:12| |pg openerp.modules.module: module some_product_shop: module not found|
|4| |CRITICAL| |2017-11-10 20:58:21| |pg openerp.modules.module: No module named profile_management|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model login.common.content|
|20| |WARNING| |2017-11-10 17:29:12| |pg openerp.modules.module: module web_tree_image: module not found|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model catalog.faq|
|7| |ERROR| |2017-11-10 20:43:18| |pg openerp.addons.base.ir.ir_model: Missing model flixo.u.glass|
|9| |ERROR| |2017-11-10 20:32:27| |pg werkzeug: Error on request:|
|1| |ERROR| |2017-11-10 21:25:41| |pg openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 58030)|
|7| |ERROR| |2017-11-10 20:43:18| |pg openerp.addons.base.ir.ir_model: Missing model flixo.online.path.settings|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model faq.content|
|20| |WARNING| |2017-11-10 17:29:12| |pg openerp.modules.module: module web_ckeditor4: module not found|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model promo.page|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model privacy.policy.content|
|7| |ERROR| |2017-11-10 20:43:17| |pg openerp.addons.base.ir.ir_model: Missing model product.material|
|4| |ERROR| |2017-11-10 20:29:17| |pg openerp.modules.graph: module hr_applicant_document: Unmet dependencies: hr_recruitment|
|1| |ERROR| |2017-11-10 11:33:37| |pg openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60309)|
