"number","askstories"
"1","{'by': 'nativelukas', 'descendants': 26, 'id': 15730308, 'kids': [15730462, 15730455, 15730486, 15730416, 15730412, 15730517, 15730497, 15730485, 15730545, 15730471, 15730512, 15730406, 15730418, 15730463, 15730450, 15730528, 15730451, 15730444, 15730466, 15730482, 15730477, 15730440, 15730439, 15730464, 15730521, 15730459], 'score': 28, 'text': 'Hello,\nI am currently 22 years old, studying Computer Science. I&#x27;ve been focusing on web development for almost ten years. I&#x27;ve built up a freelance business with active clients and also tried to work as a Front-end developer for a year in small digital agency.<p>After years I am not satisfied with web development and it doesn&#x27;t make me happy. I can see really young, inexperienced people going into this business, things are changing really fast and there&#x27;s no methodology, no &quot;scientific&quot; way to do it. I can say that web development is somehow punk business with many &quot;script kids&quot; involved.<p>The second thing I don&#x27;t like about the job is lack of social contact. You spend big amount of time in front of a computer and when you want to be the best you have to spend even your free time alone. When you look at those best developers, they look kind of awkward, they don&#x27;t have communication skills and I feel like this is not the way I want to go.<p>Also the third thing that bothers me is the fact that developers are becoming new blue-collar workes (see https:&#x2F;&#x2F;www.wired.com&#x2F;2017&#x2F;02&#x2F;programming-is-the-new-blue-collar-job&#x2F;) since it&#x27;s kind of easy to learn how to code. You also don&#x27;t need any certification or license. I see that many IT students do have this blue-collar mentality. They dress badly, they swear alot, simply they look like people from lower social classes. This is what bothers me. When I was younger I really appriciated this &quot;punk&quot; side of the IT. Now I hate it.<p>What I am thinkin about is career change to medicine. I am interested in human body and would enjoy studying it. Also medicine as a field seems to be more mature and traditional.<p>Do some of you see it similarly or do you have different opinion? What do you think about it?', 'time': 1511034106, 'title': 'Ask HN: Career change at 22', 'type': 'story'}"
"2","{'by': 'path89', 'descendants': 11, 'id': 15729471, 'kids': [15730160, 15729943, 15730087, 15729736, 15730112], 'score': 22, 'text': 'We are in the process of selecting an external vendor to integrate with. So, right now we are reading documentations of potential vendors and in the process of doing a doing a feasibility study.\nAssuming all vendors provide similar capabilities in terms of costs, features, support, API response times, load testing results and the like what are some pratical things to consider before moving forward ahead with one?', 'time': 1511020883, 'title': 'Ask HN: What are the not-so obvious things to consider while API integration?', 'type': 'story'}"
"3","{'by': 'a-dub', 'descendants': 1, 'id': 15728416, 'kids': [15729489], 'score': 11, 'text': 'I&#x27;m starting to become more interested in rust and I believe that the best way to learn a thing is to study good applications of it.  As I don&#x27;t know much at all about the rust ecosystem, I am not qualified to determine what is good, and I&#x27;m lazy.  So... what&#x27;s good?  What are some good examples of sufficiently complicated rust applications that either a) do a very good job of subscribing to rust dogma or b) do a very good job of hacking around the darker corners to achieve a goal where a canonical example would have been unsuitable?', 'time': 1510998524, 'title': 'Ask HN/Lazyweb: Favorite rust projects/canonical examples to learn from', 'type': 'story'}"
"4","{'by': 'swyx', 'descendants': 941, 'id': 15718653, 'kids': [15719077, 15721025, 15720640, 15722654, 15719663, 15722356, 15720274, 15722409, 15719171, 15720999, 15721243, 15721916, 15719561, 15719911, 15719532, 15722274, 15721657, 15719831, 15719988, 15719338, 15720005, 15722853, 15719071, 15720375, 15719021, 15722097, 15720872, 15719470, 15719067, 15719068, 15718714, 15721518, 15730495, 15720344, 15720736, 15729281, 15719158, 15719766, 15719057, 15724384, 15719019, 15721961, 15719681, 15719396, 15720021, 15719066, 15723746, 15719106, 15721323, 15723335, 15721678, 15719860, 15723217, 15723128, 15722094, 15719199, 15719008, 15722971, 15724533, 15722483, 15720618, 15723884, 15719802, 15724776, 15721057, 15719229, 15720174, 15724566, 15721625, 15719026, 15720627, 15721795, 15719618, 15723583, 15727423, 15721046, 15719225, 15723410, 15726845, 15727211, 15722787, 15722691, 15720503, 15721189, 15720175, 15719733, 15721789, 15723250, 15720545, 15727066, 15719506, 15719956, 15721806, 15721090, 15721709, 15720276, 15719382, 15720764, 15719339, 15720900, 15719096, 15719650, 15724560, 15722889, 15720323, 15722286, 15721701, 15722055, 15721743, 15721099, 15720554, 15722876, 15720073, 15719125, 15722003, 15719166, 15720512, 15719120, 15722521, 15720490, 15719168, 15719946, 15720795, 15719617, 15728228, 15721772, 15719841, 15719232, 15720486, 15722969, 15718953, 15722014, 15720531, 15719768, 15722698, 15720762, 15722367, 15723454, 15720509, 15720745, 15720072, 15719221, 15719845, 15722834, 15719509, 15720754, 15719135, 15720497, 15719730, 15720646, 15720211, 15719459, 15720321, 15725590, 15720377, 15720458, 15720721, 15723109, 15720728, 15719022, 15719479, 15722207, 15720766, 15720596, 15720591, 15720494, 15720445, 15720429, 15721922, 15719834, 15720588, 15720792, 15720365, 15720510, 15720517, 15719864, 15721717, 15722340, 15720643, 15719652, 15720505, 15724201, 15722704, 15722343, 15722277, 15720771, 15721128, 15720656, 15720608, 15720597, 15719729, 15720551, 15719750, 15719162, 15719087, 15719943, 15720069], 'score': 374, 'time': 1510889071, 'title': ""Ask HN: What tech were you convinced would take the world by storm but didn't?"", 'type': 'story'}"
"5","{'by': 'cdiddy2', 'descendants': 15, 'id': 15727166, 'kids': [15730388, 15729004, 15728995], 'score': 28, 'text': 'With the upcoming vote in december things are dire. What can we as a community do to defend the internet?', 'time': 1510966453, 'title': 'Ask HN: What can we do to defend net-neutrality?', 'type': 'story'}"
"6","{'by': 'throwawayy88', 'descendants': 7, 'id': 15729439, 'kids': [15729757, 15730023, 15729816, 15729985, 15729579, 15729571, 15729487], 'score': 11, 'text': 'I am not satisfied with the current job, customer service. There is no future in it for me. I am not doing anything in the current job, that will help me grow. I feel killing myself everyday.<p>I love to build stuff. I want to quit and start afresh. What career will be the best at the age of 30?', 'time': 1511020567, 'title': 'Ask HN: Career change at age 30?', 'type': 'story'}"
"7","{'by': 'csurya', 'descendants': 20, 'id': 15725753, 'kids': [15730196, 15726802, 15726724, 15725911, 15726775, 15728086, 15727977, 15727598, 15726798], 'score': 12, 'time': 1510950945, 'title': ""Why Doesn't US Make 2 Year Warranty on Products Mandatory Like EU?"", 'type': 'story'}"
"8","{'by': 'arjun27', 'descendants': 50, 'id': 15722849, 'kids': [15723518, 15723821, 15723467, 15723312, 15723435, 15728424, 15728455, 15723236, 15723333, 15728436, 15724733, 15723596, 15723327, 15723595, 15723403, 15723434, 15723420, 15723499, 15723558, 15723490, 15723994, 15723262, 15725158, 15723445, 15723983, 15724099, 15723991], 'score': 60, 'time': 1510933437, 'title': 'Ask HN: What are the best tools for code reviews?', 'type': 'story'}"
"9","{'by': 'ryanSrich', 'descendants': 35, 'id': 15715547, 'kids': [15716133, 15723258, 15718667, 15725168, 15724899, 15715773, 15715806, 15716336, 15721554, 15715904, 15718816, 15728593, 15717205, 15719534, 15723367, 15720366, 15718543, 15715767, 15724924, 15717996], 'score': 31, 'text': 'What are the current recommendations for rapidly building a web application? Back in the day it used to be Rails. It seems like Phoenix is picking up steam.<p>Are there any other full-stack frameworks that take you from nothing to something fairly robust in a few hours?', 'time': 1510859481, 'title': 'Ask HN: Fastest/easiest framework to build a web application in 2017?', 'type': 'story'}"
"10","{'by': 'dbosch', 'descendants': 9, 'id': 15722485, 'kids': [15723478, 15727505, 15723876, 15724519, 15724074, 15723787], 'score': 44, 'time': 1510931209, 'title': 'Ask HN: What are the best resources to learn Product Design?', 'type': 'story'}"
